7 179404
Pa Pb Da Db BDa BDb ES
121 1 1 0 0 1 176
120 1 1 0 0 1 177
122 1 1 1 0 0 177
121 1 1 1 0 0 178
119 1 1 0 0 1 178
118 1 1 0 0 1 179
120 1 1 1 0 0 179
119 1 1 1 0 0 180
117 1 1 0 0 1 180
116 1 1 0 0 1 181
118 1 1 1 0 0 181
117 1 1 1 0 0 182
115 1 1 0 0 1 182
114 1 1 0 0 1 183
116 1 1 1 0 0 183
115 1 1 1 0 0 184
113 1 1 0 0 1 184
112 1 1 0 0 1 185
114 1 1 1 0 0 185
113 1 1 1 0 0 186
111 1 1 0 0 1 186
110 1 1 0 0 1 187
112 1 1 1 0 0 187
111 1 1 1 0 0 188
109 1 1 0 0 1 188
108 1 1 0 0 1 189
110 1 1 1 0 0 189
109 1 1 1 0 0 190
107 1 1 0 0 1 190
106 1 1 0 0 1 191
108 1 1 1 0 0 191
107 1 1 1 0 0 192
105 1 1 0 0 1 192
104 1 1 0 0 1 193
106 1 1 1 0 0 193
105 1 1 1 0 0 194
103 1 1 0 0 1 194
102 1 1 0 0 1 195
104 1 1 1 0 0 195
103 1 1 1 0 0 196
